#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
10.337642,50,398.165739,1
4.736755,44,398.661059,1
3.368844,15,398.838629,1
6.315668,37,399.261263,1
11.305371,50,399.856731,1
12.667143,50,400.437778,1
3.993899,17,400.637277,1
6.428194,33,401.041188,1
4.608688,25,401.325428,1
6.043153,40,401.779168,1
12.727352,50,402.366598,1
10.514751,50,402.944756,1
10.350187,50,403.520941,1
12.337384,44,404.028322,1
11.352567,50,404.768591,1
9.095327,50,405.347541,1
7.957951,50,413.225372,1
2.29414,18,413.43711,1
5.069664,29,413.781052,1
2.653603,20,414.008031,1
10.013734,50,414.581484,1
10.814525,47,415.13166,1
4.519119,22,415.384445,1
4.491704,30,415.737568,1
7.2043,50,416.31435,1
13.13103,50,416.891491,1
5.936303,27,417.207534,1
5.771928,27,417.516344,1
4.966971,30,417.871325,1
14.248693,50,418.464119,1
3.373252,10,418.581117,1
10.128945,50,419.157839,1
10.186608,50,419.736897,1
9.880208,43,420.222666,1
3.278103,11,420.361002,1
10.165367,50,420.923924,1
4.976978,32,421.28721,1
13.197917,43,421.775087,1
3.125247,22,422.036137,1
5.762898,36,422.520401,1
5.866148,34,423.017048,1
9.027268,50,423.576991,1
8.233007,50,424.15783,1
9.410042,50,424.742459,1
10.249079,50,425.3923,1
10.837595,50,426.015732,1
7.4672,34,426.492039,1
9.087392,50,427.07448,1
3.667311,18,427.283204,1
11.927196,50,427.851928,1
6.020195,33,428.236452,1
5.286429,27,428.539575,1
10.990776,50,429.154523,1
4.101898,8,429.26187,1
3.007498,9,429.385035,1
8.6493,35,429.789552,1
8.129379,47,430.337117,1
10.565593,44,430.960692,1
7.977721,50,431.561467,1
4.232645,32,431.947764,1
5.240982,33,432.345652,1
7.657336,50,432.928736,1
10.673383,50,433.501018,1
8.462886,50,434.099745,1
11.215317,44,434.618634,1
6.579062,42,435.104556,1
10.999821,50,435.691433,1
10.509786,50,436.262713,1
11.958598,50,436.97618,1
7.560596,50,444.926802,1
2.47262,7,445.015715,1
3.312632,20,445.252149,1
2.55617,12,445.39748,1
9.349774,33,445.770105,1
2.684448,16,445.956413,1
8.440197,50,446.521903,1
14.209504,50,447.10407,1
10.205183,50,447.682323,1
7.113174,32,448.052684,1
8.519205,50,448.629436,1
10.403806,50,449.200864,1
10.619902,50,449.766193,1
5.611396,20,449.997276,1
4.007949,30,450.343511,1
13.435167,50,450.898913,1
4.98343,50,451.4795,1
4.054541,13,451.634359,1
4.048992,23,451.903875,1
10.761946,50,452.48658,1
10.437217,49,453.046874,1
3.672176,13,453.195229,1
6.566988,21,453.438524,1
7.741968,44,453.997295,1
2.427533,13,454.150588,1
9.304709,50,454.814655,1
3.759269,20,455.055307,1
2.762153,9,455.176726,1
9.842714,50,455.762722,1
9.948019,50,456.324496,1
10.545336,50,456.888237,1
5.6785,34,457.292639,1
11.548046,47,457.825657,1
9.994061,50,458.378736,1
6.160401,31,458.789892,1
9.85279,50,459.491568,1
2.990146,20,459.750966,1
9.900546,38,460.190396,1
10.699531,50,460.779802,1
8.788549,50,461.346908,1
8.813624,33,461.733682,1
10.368425,50,462.299435,1
9.057947,50,462.865066,1
5.067333,50,463.430708,1
10.00271,50,464.019019,1
3.042183,9,464.126863,1
6.182742,48,464.737746,1
2.84045,13,464.887442,1
8.160989,45,465.528144,1
3.315124,19,465.76697,1
6.238789,37,466.294565,1
3.519797,22,466.598705,1
4.025887,18,466.861439,1
8.218132,35,467.319033,1
2.545461,14,467.482575,1
9.028406,50,468.067071,1
9.928551,50,468.656572,1
4.988505,25,468.94432,1
3.272854,18,476.261443,1
5.298368,15,476.45113,1
6.40997,35,476.865789,1
3.11644,12,477.007978,1
2.409239,15,477.185097,1
8.555664,40,477.677381,1
9.71332,50,478.268238,1
9.320091,50,478.845206,1
9.538675,50,479.410411,1
4.659595,26,479.738377,1
3.305096,12,479.877151,1
7.010925,36,480.367148,1
2.943651,32,480.80531,1
7.96269,37,481.252157,1
6.724738,50,481.820346,1
7.403783,50,482.477446,1
6.363659,25,482.770673,1
10.619657,50,483.350796,1
10.768727,50,483.938387,1
3.86449,21,484.189167,1
6.708547,40,484.786323,1
3.487007,18,484.996128,1
7.986802,36,485.467138,1
5.639577,34,485.931126,1
2.566591,9,486.095624,1
9.612443,50,486.755587,1
9.634997,50,487.378258,1
2.939003,15,487.559325,1
2.243695,10,487.681478,1
8.990152,50,488.270503,1
4.956142,19,488.496143,1
8.36931,50,489.114355,1
9.264581,50,489.696767,1
3.717102,24,489.979576,1
7.025022,50,490.583687,1
7.544585,50,491.158192,1
6.968009,50,491.894548,1
7.549828,23,492.181345,1
8.06991,50,492.895027,1
8.386879,50,493.521091,1
7.418798,40,494.015501,1
10.886703,50,494.671355,1
5.437417,32,495.060193,1
6.923757,30,495.414627,1
6.714359,39,495.867229,1
5.935169,36,496.296049,1
11.086983,50,496.862077,1
5.173627,22,497.118384,1
9.583316,50,497.692938,1
5.083154,30,498.104332,1
6.272089,21,498.352546,1
3.620405,18,498.574313,1
9.00991,50,499.150328,1
10.686821,34,499.548239,1
6.221487,37,499.976135,1
7.00907,50,500.55024,1
8.080968,46,501.073089,1
9.198834,50,508.984726,1
4.933454,28,509.312738,1
9.783988,39,509.760632,1
8.393889,50,510.331593,1
14.481145,50,510.894592,1
9.231784,44,511.38909,1
2.954101,14,511.553737,1
7.57133,50,512.120645,1
10.539125,50,512.687888,1
4.758379,38,513.123042,1
6.713429,29,513.45907,1
9.140669,46,513.970083,1
8.312661,50,514.535621,1
8.648038,50,515.091235,1
2.186025,16,515.279949,1
6.301505,20,515.515547,1
10.342786,50,516.082557,1
5.787324,27,516.384114,1
9.44252,50,516.943277,1
12.438676,50,517.510997,1
5.335521,26,517.811654,1
8.973184,50,518.361228,1
8.761121,45,518.856207,1
7.242369,44,519.353347,1
6.092227,38,519.78077,1
12.073152,50,520.343313,1
9.232678,50,520.922561,1
9.343774,48,521.470543,1
11.211129,41,521.929665,1
9.038221,50,522.4855,1
5.651603,26,522.852149,1
9.844111,50,523.555482,1
9.36167,50,524.144914,1
3.377308,31,524.567825,1
10.097007,50,525.153567,1
12.240764,50,525.768002,1
5.968335,25,526.070061,1
10.900899,37,526.535847,1
8.941017,43,527.037707,1
9.756968,50,527.619178,1
10.65025,50,528.209555,1
4.602228,24,528.491006,1
8.384046,50,529.070876,1
3.766067,19,529.295307,1
3.051171,12,529.437182,1
7.726923,32,529.812733,1
8.46499,49,530.393957,1
8.353089,50,531.011218,1
4.340824,24,531.306776,1
3.476783,12,531.44887,1
4.544291,20,531.684961,1
3.642357,16,531.873649,1
9.825742,42,532.390067,1
2.835998,21,540.091714,1
2.305581,16,540.33043,1
7.186103,44,540.892587,1
9.192689,50,541.48162,1
9.053084,50,542.084751,1
4.071816,33,542.501345,1
3.731265,23,542.851873,1
9.591433,45,543.537181,1
8.907413,28,543.898314,1
2.54399,20,544.149613,1
2.698943,11,544.301556,1
11.690969,50,544.927368,1
6.178758,22,545.185636,1
5.656966,30,545.531194,1
3.987266,17,545.729205,1
3.856306,32,546.126099,1
10.899621,50,546.839617,1
6.604521,27,547.185852,1
9.543404,50,547.986755,1
6.374148,40,548.50517,1
6.800803,50,549.109071,1
9.280927,32,549.480201,1
5.156232,39,549.943074,1
7.719323,48,550.505096,1
3.125338,16,550.709441,1
7.995983,50,551.294605,1
8.51601,43,551.828053,1
7.275977,41,552.36835,1
3.235573,13,552.550853,1
7.058468,40,553.048019,1
2.715561,15,553.241612,1
9.02424,50,553.882165,1
7.078953,50,554.494018,1
5.026778,24,554.774804,1
9.134013,50,555.348974,1
5.83819,32,555.870695,1
6.606152,34,556.289581,1
4.961081,39,556.767811,1
3.527702,19,556.997804,1
